from_address,f0_,f1_,tx_count
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-31,6022367852494908350.305498982,1964
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-07,5531991736425818882.46628131,2076
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-08,5666309882786606129.398410897,5286
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-24,14145663626068337129.840546697,2195
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-18,9574516335221137277.426766226,1741
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-19,6906576176837606837.606837607,2106
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-05,5754662012418926886.79245283,6784
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-15,6720817914690618762.4750499,2004
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-14,5066382766244328684.254747101,5951
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-04,8580031765425143453.312467397,1917
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-21,10664314553504839531.329597555,1963
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-10,15172663173229095853.161114888,1471
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-14,7114574122931453573.164803111,2057
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-04,6262424823038768529.076396807,1754
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-26,13040490166711816907.986921999,2141
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-30,10918662351637612255.678816693,1893
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-03,8964913729954674220.963172805,1765
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-31,17351775278094312105.007292173,2057
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-26,4058629317343987823.439878234,7884
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-19,14053474018768913342.50343879,1454
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-05,15491812887673874926.943308007,1711
